date,trip_distance,trip_distance,trip_distance,trip_distance,trip_duration_minutes,trip_duration_minutes,passenger_count,passenger_count,total_amount,total_amount,total_amount
,count,mean,sum,std,mean,sum,sum,mean,mean,sum,std
2015-01-01,370883,3.2568505431632078,1207910.5,3.6499483922533837,11.786124734754626,4371273.3,672956,1.814469792360394,15.233352431899009,5649791.45,12.321902831038038
2015-01-02,335934,2.9638207207368117,995648.15,3.677645622277623,11.831037346621658,3974447.7,592532,1.7638345627414909,14.791735400406031,4969046.84,13.364099114037563
2015-01-03,397356,2.8474898831274724,1131467.19,3.458288017624546,11.390495340869817,4526081.666666667,707510,1.7805443984739127,14.048680377293914,5582327.44,11.690980039524701
2015-01-04,321783,3.3339349810275873,1072803.6,4.017426753536768,11.492655246962498,3698141.0833333335,554931,1.7245503957636046,15.438632214877726,4967889.39,13.739559429120082
2015-01-05,353992,3.0366791904901804,1074960.14,3.8796302949542683,11.875485510030357,4203826.866666666,587388,1.6593256344776153,15.14648630477525,5361734.98,13.313427771806364
2015-01-06,373928,2.7320493784899766,1021589.76,3.4452689317098613,12.553521221554238,4694113.083333333,618203,1.6532674739522046,14.698337647889433,5496120.0,12.12932877507765
2015-01-07,418610,2.6354012804280837,1103205.33,3.2605021733309156,12.00314919216773,5024638.283333333,692371,1.653976254747856,14.311862736198371,5991088.86,11.498121896563266
2015-01-08,438362,2.6595129824209214,1165829.43,3.269282996407816,12.50827348933834,5483151.783333333,728836,1.66263499117168,14.58495168376821,6393488.59,11.6312715465211
2015-01-09,435688,2.7176252731312314,1184036.72,3.324132448145648,13.161668479890809,5734381.016666667,730521,1.6767067259139568,14.924773255173427,6502544.61,11.782838846223529
2015-01-10,501077,2.644849633888604,1325273.32,3.069145653295464,11.62092722276217,5822979.35,872039,1.7403293306218406,13.879104229489679,6954499.91,10.717107162008022
2015-01-11,407726,3.0344328053643865,1237217.15,3.5495413591613727,11.249162018937554,4586575.833333333,701779,1.7212024742106218,14.735815498643698,6008175.11,12.311653227638041
2015-01-12,386730,2.8155864298089104,1088871.74,3.558416976762375,12.589479783483739,4868729.516666667,634804,1.641465622010188,14.98176440927779,5793897.75,12.479685797126438
2015-01-13,437451,2.6885601587377788,1176113.33,3.3056194150610687,12.863101543563356,5626976.633333334,719921,1.6457180347056013,14.90563215080089,6520483.69,11.96187670485375
2015-01-14,430966,2.76113155098082,1189953.82,3.3578954789721323,12.768810339253367,5502923.116666666,709157,1.6455056779421113,15.076093404120046,6497283.67,12.15537247457387
2015-01-15,439335,2.8274728851559745,1242207.8,3.4403584900699635,13.370665134047291,5874201.166666667,724874,1.6499345601875561,15.4067549591997,6768726.69,12.426500744568862
2015-01-16,465533,2.8173290615273245,1311559.65,3.4600571512551235,12.999463088545816,6051679.05,778362,1.6719802892598377,15.133456575581109,7045123.44,12.23608416219959
2015-01-17,463562,2.6831088398099934,1243787.3,3.095195890698546,11.623365015539093,5388150.333333333,810272,1.7479258437922005,13.893111687325534,6440318.64,10.681015122294992
2015-01-18,416754,2.8526534838297892,1188854.75,3.3506515525892353,11.331552946502413,4722470.016666667,727863,1.746505132524223,23.589137836709426,9830867.55,6119.608915521538
2015-01-19,334859,3.116626580142687,1043630.46,3.8730376452239765,11.485472343085696,3846013.783333333,564644,1.6862141976175047,15.01498430682765,5027902.63,13.369431419751947
2015-01-20,395194,2.805375612990076,1108667.61,3.4425364274595522,12.755461115300333,5040881.7,647026,1.6372363952894022,15.121024054008918,5975737.98,12.40048766166184
2015-01-21,419854,2.7126959371591077,1138936.24,3.288437329861595,12.659538831752625,5315158.016666667,689289,1.6417349840658895,14.897777560771125,6254891.5,11.809508724732256
2015-01-22,440908,2.7660509221878486,1219573.98,3.2938859181395594,12.951663650164356,5710492.116666666,724716,1.6436898400573363,15.205569551924665,6704257.26,13.335430893458408
2015-01-23,460121,2.750058832350621,1265359.82,3.3020245046256074,13.364042393196572,6149076.55,766714,1.6663312476500747,15.203568822114184,6995481.29,11.997535914766427
2015-01-24,450493,2.6348842934296424,1186996.93,3.014698216578197,11.384422806421705,5128602.783333333,783874,1.740035916207355,13.631334404752128,6140820.73,10.444951775260598
2015-01-25,397540,3.0152055893746543,1198664.83,3.5070857496889554,11.662386510372123,4636265.133333334,680219,1.7110705840921667,14.85240587110731,5904425.43,12.264617101441923
2015-01-26,224006,2.652042936349919,594073.53,3.4532633589294264,13.314765303905551,2982587.316666667,367271,1.6395587618188798,14.634791835932967,3278281.18,12.675073952190749
2015-01-27,132636,2.231443122530836,295969.69,2.455107902285876,8.55407242377635,1134577.95,228210,1.7205735999276215,11.923115443770923,1581434.34,8.152639700646793
2015-01-28,370509,2.7614874672410115,1023155.96,3.3989264999012,13.248917480187167,4908843.166666667,608687,1.6428399849936168,15.172796045440192,5621657.49,11.970456283069845
2015-01-29,421229,2.773682177627846,1168355.37,3.342826397332409,14.520472078924607,6116443.933333334,691355,1.6412806335746115,15.791442350835293,6651813.47,12.175827319207878
2015-01-30,471610,2.697142702656856,1271999.47,3.2220983571989126,13.70376384441947,6462832.066666666,784730,1.6639384236975467,15.168102860414326,7153428.99,11.722946459695036
2015-01-31,505731,2.601889996856036,1315856.43,2.945117555612532,11.99604417499949,6066771.416666667,877815,1.7357350053684666,13.947590339528327,7053728.8100000005,10.339180279516315
