hour,trip_distance,trip_distance,trip_duration_minutes,total_amount,passenger_count
,count,mean,mean,mean,mean
0,457567,3.2682196487071837,12.016587406871562,15.752767813238279,1.737039602943394
1,345211,3.234223880467308,11.81455925989226,15.4818578782252,1.7392493286714503
2,259875,3.242402154882155,11.725051659451658,15.358655853775854,1.7406022126022127
3,191654,3.459534473582602,11.740486588678905,15.860420758241414,1.7525332108904588
4,137758,4.0845330942667575,12.020991400378442,17.69190333773719,1.7258671002772978
5,122496,4.600383114550679,11.603030711206896,19.42130396094566,1.6079300548589341
6,259843,3.519575397451538,10.881698756556844,15.698138991621866,1.5536804916815155
7,444043,2.8499177106721647,12.033824914854343,14.346010161178084,1.5954490893899915
8,547836,2.4814215385626355,12.97897190034974,14.057901634795815,1.6261965259676254
9,566098,2.439429021123551,12.855529254652023,13.975527187872064,1.6336305727983493
10,553998,2.497790984804999,12.44398481582966,13.867079177181145,1.6579012920624263
11,581989,2.4774745914441683,12.394331021147593,13.775706104410908,1.6777413318808432
12,621532,2.4654204127864694,12.36051589727748,13.73976500003218,1.6842399104149102
13,619679,2.5767863684262333,12.682160871461946,14.10415171403259,1.693736595882707
14,641914,2.7287605660571357,13.427305682692698,14.717222992488091,1.6959156522524825
15,631513,2.7795419571726945,13.623351907772815,14.869447865681309,1.7100550582489988
16,561783,2.810227756980898,13.30681108185901,15.301421153719495,1.7056870713424934
17,652251,2.626827846948491,13.056229835855625,14.789193316683303,1.693381842266244
18,779968,2.493798053253467,12.512992135574791,14.35860032719291,1.691023221465496
19,785373,2.535601605861164,11.827700489661176,19.271311555146408,1.6999756803455173
20,715807,2.76503317234953,11.581032759761593,14.554612779701792,1.6965955907109038
21,694241,2.9479110712274266,11.59696908806404,15.025341718509853,1.7088028508831947
22,670371,3.0588747723275618,11.824095811622719,15.355806441507763,1.7245898166835976
23,577560,3.223432855460904,12.057778960916037,15.78730114620126,1.7303223907472816
